Driver,method,flag_time_s
VER,conformal,7394.382
VER,conformal,7394.542
VER,conformal,7394.615
VER,conformal,7394.676
VER,conformal,7394.702
VER,conformal,7394.976
VER,conformal,7394.982
VER,conformal,7395.135
VER,conformal,7395.302
VER,conformal,7395.516
VER,conformal,7395.582
VER,conformal,7395.742
VER,conformal,7395.856
VER,conformal,7395.902
VER,conformal,7396.096
VER,conformal,7396.262
VER,conformal,7396.416
VER,conformal,7396.422
VER,conformal,7396.622
VER,conformal,7396.775
VER,conformal,7417.222
VER,conformal,7417.355
VER,conformal,7417.542
VER,conformal,7417.615
VER,conformal,7417.855
VER,conformal,7502.982
VER,conformal,7503.262
VER,conformal,7503.295
VER,conformal,7503.422
VER,conformal,7586.276
VER,conformal,7586.383
VER,conformal,7651.755
VER,conformal,7651.823
VER,conformal,7673.023
VER,conformal,7673.223
VER,conformal,7673.423
VER,conformal,7673.496
VER,conformal,7673.555
VER,conformal,7673.583
VER,conformal,7673.874
VER,conformal,7673.903
VER,conformal,7674.223
VER,conformal,7674.295
VER,conformal,7674.475
VER,conformal,7674.543
VER,conformal,7674.674
VER,conformal,7674.823
VER,conformal,7674.935
VER,conformal,7675.063
VER,conformal,7675.095
VER,conformal,7675.303
VER,conformal,7675.475
VER,conformal,7821.383
VER,conformal,7821.555
VER,conformal,7821.784
VER,conformal,7821.795
VER,conformal,7821.984
VER,conformal,7821.996
VER,conformal,7822.184
VER,conformal,7822.236
VER,conformal,7822.395
VER,conformal,7822.464
VER,conformal,7822.556
VER,conformal,7822.624
VER,conformal,7822.755
VER,conformal,7822.984
VER,conformal,7823.035
VER,conformal,7823.264
VER,conformal,7823.315
VER,conformal,7823.463
VER,conformal,7823.555
VER,conformal,7823.703
VER,conformal,7823.795
VER,conformal,7827.515
VER,conformal,7827.703
VER,conformal,7827.735
VER,conformal,7827.863
VER,conformal,7827.995
VER,conformal,7828.184
VER,conformal,7828.335
VER,conformal,7828.496
VER,conformal,7841.344
VER,conformal,7841.515
VER,conformal,7841.624
VER,conformal,7841.715
VER,conformal,7841.824
VER,conformal,7841.995
VER,conformal,7842.144
VER,conformal,7842.175
VER,conformal,7842.344
VER,conformal,7842.436
VER,conformal,7842.504
VER,conformal,7842.696
VER,conformal,7929.736
VER,conformal,7929.864
VER,conformal,7929.915
VER,conformal,7930.024
VER,conformal,7930.224
VER,conformal,7930.255
VER,conformal,7930.494
VER,conformal,7930.504
VER,conformal,7930.664
VER,conformal,7930.675
VER,conformal,7930.824
VER,conformal,7930.835
VER,conformal,7931.023
VER,conformal,7931.303
VER,conformal,7931.334
VER,conformal,7931.503
VER,conformal,7931.703
VER,conformal,7931.735
VER,conformal,8015.104
VER,conformal,8015.336
VER,conformal,8015.344
