Driver,n_estimators,precision,recall,n_flags
VER,25,0.0,,327
VER,50,0.0,,312
VER,100,0.0,,322
VER,200,0.0,,332
PER,25,0.0,0.0,390
PER,50,0.0,0.0,393
PER,100,0.0,0.0,381
PER,200,0.0,0.0,390
SAI,25,0.0,0.0,302
SAI,50,0.0,0.0,295
SAI,100,0.0,0.0,272
SAI,200,0.0,0.0,313
LEC,25,0.0,0.0,246
LEC,50,0.0,0.0,217
LEC,100,0.0,0.0,226
LEC,200,0.0,0.0,252
RUS,25,0.0,0.0,223
RUS,50,0.0,0.0,210
RUS,100,0.0,0.0,241
RUS,200,0.0,0.0,242
HAM,25,0.0,0.0,391
HAM,50,0.0,0.0,414
HAM,100,0.0,0.0,416
HAM,200,0.0,0.0,414
ALB,25,0.0,,164
ALB,50,0.0,,212
ALB,100,0.0,,193
ALB,200,0.0,,230
NOR,25,0.0,0.0,901
NOR,50,0.0,0.0,1012
NOR,100,0.0,0.0,1004
NOR,200,0.0,0.0,998
ALO,25,0.0,0.0,407
ALO,50,0.0,0.0,397
ALO,100,0.0,0.0,388
ALO,200,0.0,0.0,390
BOT,25,0.0,0.0,296
BOT,50,0.0,0.0,278
BOT,100,0.0,0.0,303
BOT,200,0.0,0.0,336
LAW,25,0.0,,461
LAW,50,0.0,,509
LAW,100,0.0,,467
LAW,200,0.0,,516
PIA,25,0.0,0.0,898
PIA,50,0.0,0.0,940
PIA,100,0.0,0.0,972
PIA,200,0.0,0.0,1018
SAR,25,0.0,0.0,343
SAR,50,0.0,0.0,347
SAR,100,0.0,0.0,359
SAR,200,0.0,0.0,312
ZHO,25,0.0,,151
ZHO,50,0.0,,143
ZHO,100,0.0,,208
ZHO,200,0.0,,192
GAS,25,0.0,,639
GAS,50,0.0,,646
GAS,100,0.0,,649
GAS,200,0.0,,646
STR,25,0.0,,679
STR,50,0.0,,667
STR,100,0.0,,665
STR,200,0.0,,659
HUL,25,0.0,,607
HUL,50,0.0,,610
HUL,100,0.0,,603
HUL,200,0.0,,591
MAG,25,0.0,,516
MAG,50,0.0,,494
MAG,100,0.0,,419
MAG,200,0.0,,406
OCO,25,0.0,,659
OCO,50,0.0,,626
OCO,100,0.0,,585
OCO,200,0.0,,653
